NPS Score,Feedback
2,"Frustrated with the lack of customer support. Couldn't resolve persistent issues."
9,"Very impressed with the depth of financial reporting. Makes our job so much easier!"
7,"Good software overall. A bit pricey, but the features mostly justify the cost."
10,"The cloud-based system is perfect for our distributed team. Easy to access from anywhere!"
3,"Disappointed. Not as user-friendly as advertised. Struggled to perform basic tasks."
9,"Love the industry-specific templates. Saves us so much time on every new project!"
5,"Mixed feelings. Some great features, but also encountered some bugs."
10,"This software has streamlined our entire budgeting process. Couldn't be happier!"
8,"Very good. Would appreciate more customization options for different genres/formats."
1,"Terrible experience. Constant glitches and data loss. Completely unreliable."
9,"The scenario planning feature is incredibly useful for our variable budget projects."
4,"Too complicated for our small team. Overkill for our needs and difficult to navigate."
10,"Absolutely love how it integrates with our other production software. Great job!"
7,"Decent software. Could use some improvements in the UI for easier navigation."
9,"The real-time updating across devices is a game-changer for our mobile production team."
2,"Waste of money. Couldn't get it to work properly, and support was unhelpful."
10,"Best investment we've made for our production company. Incredibly powerful and user-friendly."
6,"It's fine. Gets the job done, but nothing spectacular compared to competitors."
9,"The ability to generate instant reports in various formats is incredibly helpful."
3,"Frustrating experience. Steep learning curve and inadequate tutorial resources."
10,"This software has transformed how we handle production budgets. Highly recommend!"
8,"Good software. Would like to see more frequent updates and feature additions."
5,"Middle-of-the-road experience. Some good features, but also some limitations."
9,"Love the multi-currency support. Perfect for our international co-productions!"
1,"Complete disappointment. Constant crashes and data loss. Avoid at all costs!"
10,"Fantastic budgeting tool! The ease of sharing info with producers is invaluable."
7,"Solid software. Could use some improvements in customer support response times."
9,"The forecasting tools are excellent. Helps us stay ahead of potential overages."
4,"Not impressed. Too many bugs and glitches for professional use."
10,"This software has revolutionized our budgeting process. Incredibly intuitive!"
6,"Decent features, but the price point is a bit high for what it offers."
9,"The customizable report templates are a huge time-saver. Very impressed!"
2,"Couldn't get the hang of it. Poor documentation and unhelpful support."
10,"Best budgeting software I've used in my career. Powerful and user-friendly."
8,"Very good tool. Would appreciate more integration with scheduling software."
3,"Disappointed with the performance. Frequent crashes on larger budgets."
9,"The collaboration features are fantastic. Great for our distributed team!"
5,"It's okay. Does the basic job, but expected more features for the price."
10,"Incredible software! The automated cost tracking is a game-changer for us."
7,"Good overall. A few more advanced features would make it perfect."
9,"Very impressed with the financial reporting depth. Saves us so much time!"
1,"Terrible experience. Couldn't import our existing data. Complete waste of time."
10,"The cloud-based system is perfect. Easy to access and update from anywhere!"
6,"It's fine. Learning curve was steeper than expected. Could use better tutorials."
9,"Love the industry-specific templates. A huge time-saver for every project!"
4,"Too complex for our needs. Overkill for small productions and hard to navigate."
10,"This software has streamlined our entire budgeting workflow. Couldn't be happier!"
8,"Very good. Would like more customization options for different production types."
2,"Frustrated with the lack of customer support. Couldn't resolve ongoing issues."
9,"The scenario planning feature is brilliant for our variable budget projects."
7,"Decent software. UI could use some improvements for easier navigation."
10,"Absolutely love how it integrates with our other production tools. Great job!"
3,"Not user-friendly as advertised. Struggled with basic tasks. Poor support."
9,"The real-time updating across devices is perfect for our mobile team."
5,"Mixed experience. Some great features, but also encountered some bugs."
10,"Best investment for our production accounting. Powerful and intuitive."
8,"Good software. Would appreciate more frequent updates and new features."
1,"Disaster. Constant glitches and data loss. Completely unreliable for professional use."
9,"The multi-currency support is fantastic for our international projects!"
6,"It's okay. Gets the job done, but nothing special compared to competitors."
10,"Fantastic budgeting tool! Ease of sharing with stakeholders is invaluable."
4,"Not impressed. Too many bugs and glitches for a professional tool."
9,"Love the forecasting tools. Helps us stay ahead of potential budget issues."
7,"Solid software. Could use some improvements in customer support."
10,"This software has revolutionized our budgeting process. Highly recommend!"
2,"Couldn't figure it out. Poor documentation and unhelpful customer support."
9,"The customizable report templates are a huge time-saver. Very impressed!"
5,"Middle-of-the-road. Some good features, but also some frustrating limitations."
10,"Best budgeting software I've used in 15 years of production accounting."
8,"Very good tool. Would love to see more integration with popular PM software."
3,"Disappointed. Not as user-friendly as advertised. Steep learning curve."
9,"The collaboration features are fantastic for our distributed team!"
1,"Complete waste of money. Couldn't get it working properly. Avoid!"
10,"Incredible software! The automated cost tracking is a game-changer."
6,"Decent features, but the price is a bit high for what it offers."
9,"Very impressed with the depth of financial reporting. Makes our job easier!"
4,"Too complicated for our small production company. Overkill for our needs."
10,"The cloud-based system is perfect. Easy to access and update from anywhere!"
7,"Good overall. A few more advanced features would make it perfect."
9,"Love the industry-specific templates. Huge time-saver on every project!"
2,"Frustrated with persistent bugs. Support was slow and unhelpful."
10,"This software has streamlined our entire budgeting process. Amazing!"
8,"Very good. Would appreciate more customization options for different genres."
5,"Mixed feelings. Some great features, but also some annoying limitations."
9,"The scenario planning feature is incredibly useful for our projects."
3,"Not user-friendly at all. Struggled with basic tasks. Poor support."
10,"Absolutely love how it integrates with our other production software."
7,"Decent software. UI could use some improvements for easier navigation."
9,"The real-time updating across devices is perfect for our team."
1,"Terrible experience. Constant crashes and data loss. Completely unreliable."
10,"Best investment we've made for our production accounting. So powerful!"
6,"It's fine. Gets the job done, but nothing spectacular."
9,"The multi-currency support is fantastic for our international co-productions!"
4,"Not impressed. Too many glitches for a professional tool."
10,"Fantastic budgeting software! The ease of use is remarkable."
8,"Good software. Would like to see more frequent updates and new features."
2,"Couldn't get the hang of it. Poor tutorials and unhelpful support."
9,"Love the forecasting tools. Helps us stay on top of our budget."
5,"Middle-of-the-road experience. Some good features, some limitations."
10,"This software has transformed how we handle production budgets. Amazing!"
7,"Solid tool. Could use some improvements in customer support response times."
9,"The customizable report templates are a huge time-saver. Impressed!"
3,"Disappointed. Not as intuitive as advertised. Steep learning curve."
10,"Best budgeting software I've ever used. Powerful and user-friendly."
6,"Decent features, but the price point is a bit high for small productions."
9,"The collaboration features are fantastic for our distributed team!"
1,"Complete disaster. Couldn't import our existing data. Waste of time and money."
10,"Incredible software! The automated cost tracking has revolutionized our process."
8,"Very good tool. Would appreciate more integration with scheduling software."
4,"Too complex for our needs. Overkill for small projects and hard to navigate."
9,"Very impressed with the financial reporting depth. Saves us so much time!"
2,"Frustrated with lack of support. Couldn't resolve persistent issues."
10,"The cloud-based system is perfect. Accessible and updateable from anywhere!"
7,"Good overall. A few more advanced features would make it outstanding."
9,"Love the industry-specific templates. A huge time-saver for every project!"
5,"Mixed experience. Some great features, but also encountered some bugs."
10,"This software has streamlined our entire budgeting workflow. Fantastic!"
3,"Not user-friendly as promised. Struggled with basic tasks. Poor support."
9,"The scenario planning feature is brilliant for our variable budget projects."
6,"It's okay. Learning curve was steeper than expected. Need better tutorials."
10,"Absolutely love how it integrates with our other production tools. Great job!"
8,"Very good. Would like more customization options for different production types."
1,"Terrible experience. Constant glitches and data loss. Avoid at all costs!"
9,"The real-time updating across devices is perfect for our mobile production team."
4,"Not impressed. Too many bugs for a professional tool at this price point."
10,"Best investment for our production accounting. Incredibly powerful and intuitive."
7,"Decent software. UI could use some improvements for easier navigation."
9,"The multi-currency support is fantastic for our international projects!"
2,"Couldn't figure it out. Poor documentation and unhelpful customer support."
10,"Fantastic budgeting tool! Ease of sharing with stakeholders is invaluable."
5,"Middle-of-the-road. Some good features, but also some frustrating limitations."
9,"Love the forecasting tools. Helps us stay ahead of potential budget issues."
3,"Disappointed. Not as user-friendly as advertised. Steep learning curve."
10,"This software has revolutionized our budgeting process. Highly recommend!"
8,"Good software. Would appreciate more frequent updates and new features."
6,"Decent features, but the price is a bit high for what it offers."
9,"The customizable report templates are a huge time-saver. Very impressed!"
1,"Complete waste of money. Couldn't get it working properly. Avoid!"
10,"Incredible software! The automated cost tracking is a game-changer for us."
7,"Solid tool. Could use some improvements in customer support response times."
9,"Very impressed with the depth of financial reporting. Makes our job easier!"
